,To,Ti_sp,Tn2,Tn4,Tn5,Tn6,Tcor,Φo,Φi,Qa,Φa,Etot
2009-02-03 18:00:00+01:00,0.2,20,20,20,20,20,20,0.9239999999999999,0.4724999999999999,0.0,2.3939999999999997,0.7
2009-02-03 19:00:00+01:00,0.7,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-03 20:00:00+01:00,1.0,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-03 21:00:00+01:00,0.8,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-03 22:00:00+01:00,0.8,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-03 23:00:00+01:00,0.5,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-04 00:00:00+01:00,0.4,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-04 01:00:00+01:00,0.5,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-04 02:00:00+01:00,0.2,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-04 03:00:00+01:00,0.2,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-04 04:00:00+01:00,0.1,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-04 05:00:00+01:00,0.3,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-04 06:00:00+01:00,0.0,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-04 07:00:00+01:00,0.2,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-04 08:00:00+01:00,0.1,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-04 09:00:00+01:00,0.7,20,20,20,20,20,20,44.352000000000004,22.68,0.0,114.912,33.6
2009-02-04 10:00:00+01:00,2.5,20,20,20,20,20,20,77.616,39.68999999999999,0.0,201.09599999999998,58.8
2009-02-04 11:00:00+01:00,5.4,20,20,20,20,20,20,106.26,54.33749999999999,0.0,275.31,80.5
2009-02-04 12:00:00+01:00,7.0,20,20,20,20,20,20,130.28400000000002,66.6225,0.0,337.55400000000003,98.7
2009-02-04 13:00:00+01:00,7.2,20,20,20,20,20,20,122.892,62.84249999999999,0.0,318.402,93.1
2009-02-04 14:00:00+01:00,7.9,20,20,20,20,20,20,96.096,49.13999999999999,0.0,248.976,72.8
2009-02-04 15:00:00+01:00,7.3,20,20,20,20,20,20,76.69200000000001,39.217499999999994,0.0,198.702,58.1
2009-02-04 16:00:00+01:00,7.3,20,20,20,20,20,20,50.82,25.987499999999997,0.0,131.67,38.5
2009-02-04 17:00:00+01:00,7.0,20,20,20,20,20,20,19.404,9.922499999999998,0.0,50.273999999999994,14.7
2009-02-04 18:00:00+01:00,6.6,20,20,20,20,20,20,1.8479999999999999,0.9449999999999998,0.0,4.787999999999999,1.4
2009-02-04 19:00:00+01:00,6.0,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-04 20:00:00+01:00,5.1,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-04 21:00:00+01:00,4.8,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-04 22:00:00+01:00,4.2,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-04 23:00:00+01:00,3.1,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-05 00:00:00+01:00,3.0,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-05 01:00:00+01:00,2.9,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-05 02:00:00+01:00,2.9,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-05 03:00:00+01:00,3.4,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-05 04:00:00+01:00,3.3,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-05 05:00:00+01:00,2.9,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-05 06:00:00+01:00,2.7,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-05 07:00:00+01:00,2.6,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-05 08:00:00+01:00,2.5,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-05 09:00:00+01:00,3.5,20,20,20,20,20,20,39.732000000000006,20.3175,0.0,102.94200000000001,30.1
2009-02-05 10:00:00+01:00,6.0,20,20,20,20,20,20,65.60400000000001,33.5475,0.0,169.97400000000002,49.7
2009-02-05 11:00:00+01:00,6.7,20,20,20,20,20,20,78.54,40.162499999999994,0.0,203.49,59.5
2009-02-05 12:00:00+01:00,7.9,20,20,20,20,20,20,80.388,41.1075,0.0,208.27800000000002,60.900000000000006
2009-02-05 13:00:00+01:00,9.0,20,20,20,20,20,20,78.54,40.162499999999994,0.0,203.49,59.5
2009-02-05 14:00:00+01:00,9.6,20,20,20,20,20,20,74.84400000000001,38.2725,0.0,193.91400000000002,56.7
2009-02-05 15:00:00+01:00,10.1,20,20,20,20,20,20,65.60400000000001,33.5475,0.0,169.97400000000002,49.7
2009-02-05 16:00:00+01:00,10.1,20,20,20,20,20,20,48.048,24.569999999999997,0.0,124.488,36.4
2009-02-05 17:00:00+01:00,9.1,20,20,20,20,20,20,21.252000000000002,10.8675,0.0,55.062000000000005,16.1
2009-02-05 18:00:00+01:00,7.8,20,20,20,20,20,20,2.7720000000000002,1.4175,0.0,7.182,2.1
2009-02-05 19:00:00+01:00,5.0,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-05 20:00:00+01:00,3.7,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-05 21:00:00+01:00,2.8,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-05 22:00:00+01:00,2.4,20,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-05 23:00:00+01:00,2.2,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-06 00:00:00+01:00,1.5,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-06 01:00:00+01:00,1.2,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
2009-02-06 02:00:00+01:00,0.9,16,20,20,20,20,20,0.0,0.0,0.0,0.0,0.0
